OID_,DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank
3216,S01009722,Madras and St Leonards,Fife,1553,1295,6744,5,10,20,97,1%,22,6741,1%,19,6759,30,53,57,52,13%,17%,49,6609,100%,5.14,27,38%,3%,5541,2.19,3.94,1.42,3.55,2.13,3.03,7.79,3.51,5.59,0%,5986,25,162,3979,232,25,28%,3%,317
3217,S01009723,St Andrews Abbey,Fife,1113,1001,6670,5,10,20,96,3%,28,6209.5,1%,13,6831,40,32,0,56,7%,0%,43,6763,0%,0,51,0%,3%,6258,3.29,5.04,1.84,4.17,2.2,2.72,7.94,3.75,4.53,0%,5103,15,136,4439,192,27,30%,4%,229
3218,S01009724,Kinness Burn East,Fife,1049,838,2650,2,4,8,38,14%,152,2339,9%,72,3157.5,115,77,42,116,20%,4%,66,3416,70%,4.5,124,0%,4%,1343,2.16,2.74,2.16,2.71,3.51,4.43,6.78,6.16,8.12,0%,4978,22,211,3232,182,17,19%,2%,1082
3219,S01009725,Kinness Burn,Fife,647,564,6410,5,10,19,92,2%,14,6386,1%,6,6862,15,40,21,96,12%,0%,59,6857,0%,0,72,0%,6%,3865,1.68,2.26,2.09,3.09,3.64,4.28,5.39,6.61,8.71,1%,5047,8,125,4662,183,6,27%,1%,462
3220,S01009726,The Scores,Fife,977,905,5723,5,9,17,83,1%,7,6943,0%,2,6969,10,58,0,41,10%,0%,33,6970,0%,0,38,0%,2%,2020,2.52,4.69,2.69,5.09,2.95,2.69,7.88,5.18,5.48,0%,4104,25,258,2640,147,20,26%,4%,364
3221,S01009727,Feddinch and The Grange,Fife,867,564,5475,4,8,16,79,3%,28,5852,3%,18,5606,40,13,18,26,15%,0%,51,6539,84%,5.94,41,2%,14%,5392,4.05,3.95,5.06,4.63,7.1,7.26,12.43,15.87,18.82,33%,694,0,0,6858,48,19,6%,2%,4574
3222,S01009728,Hallow Hill South,Fife,789,476,6495,5,10,19,94,2%,12,6700.5,2%,9,6496,25,14,0,62,13%,0%,51,6810,83%,6.07,24,0%,6%,5801,2.86,3.11,4.49,3.44,6.69,6.81,6.98,11.85,14.52,0%,1574,3,38,6405,23,5,3%,1%,6214
3223,S01009729,Hallow Hill,Fife,647,311,6612,5,10,19,95,2%,12,6544,2%,6,6467,30,27,93,52,14%,0%,44,6690,0%,3.82,26,4%,12%,4647,2.04,2.3,3.52,2.76,5.95,6.52,5.57,9.31,12.99,0%,3061,3,47,6236,4,4,1%,1%,6884
3224,S01009730,Cairnsmill,Fife,562,324,5666,5,9,17,82,4%,23,5419.5,4%,13,5188,65,22,0,157,26%,5%,64,4373,77%,5.57,35,0%,3%,4152,1.1,1.19,2.59,3.43,5.34,6.03,3.62,7,11.25,13%,4937,0,0,6928,40,5,8%,1%,4264
3225,S01009731,Canongate,Fife,618,308,6962,5,10,20,100,2%,11,6571,1%,4,6810,30,12,0,59,15%,0%,53,6694,0%,6.64,22,2%,10%,6821,2.12,1.82,2.21,1.99,4.72,5.29,5.18,7.15,10.68,0%,5275,4,65,5856.5,19,2,3%,0%,6304
3226,S01009732,Kinness Burn West,Fife,839,624,6753,5,10,20,97,2%,15,6569,2%,14,6295,40,33,18,62,10%,0%,47,6608,0%,0,47,13%,8%,5310,1.46,3.02,2.5,2.68,3.66,3.86,7.01,6.36,6.82,0%,5235,5,60,5968,111,34,14%,4%,1475
3227,S01009733,Clayton and Clatto,Fife,538,331,5562,4,8,16,80,1%,8,6713,4%,12,5403,35,13,0,80,23%,0%,65,6096,0%,5.91,62,0%,26%,6227,6.24,7.69,4.39,3.81,11.35,9.96,20.71,9.63,19.73,24%,499,0,0,6730,11,21,2%,4%,5101
3228,S01009734,Strathkinness and Craigton,Fife,1004,608,5752,5,9,17,83,2%,24,6279,2%,15,6199,35,11,17,71,14%,7%,51,6553,88%,5.94,28,0%,25%,6436,6.44,7.34,6.35,1.96,9.06,8.74,14.5,14.57,21.59,30%,567,12,120,4739,21,8,2%,1%,6399
3229,S01009735,Lawhead and Northbank,Fife,1401,992,6750,5,10,20,97,1%,15,6858,0%,5,6961,25,11,0,77,10%,0%,43,6903,0%,6.62,12,0%,25%,6964,3.37,4.97,4.67,1.81,5.67,5.35,11.65,10.69,11.35,19%,1410,3,22,6693,28,16,4%,2%,5403
3230,S01009736,North Haugh,Fife,2328,2123,6658,5,10,20,96,1%,25,6856,0%,3,6971,25,123,15,129,13%,0%,55,6543,0%,0,43,0%,4%,6397,2.79,5.05,4.03,4.82,3.94,4.08,9.11,7.77,8.13,0%,2259,19,82,5477,133,10,19%,1%,1169
3231,S01009737,Leuchars West,Fife,903,572,3885,3,6,12,56,8%,68,4070,6%,34,4125,75,48,17,99,17%,8%,67,4526,82%,5.36,79,4%,6%,3123,7.62,2.83,3.04,3.18,12.94,10.63,10.43,10.62,19.05,6%,893,4,45,6280,33,4,4%,1%,5893
3232,S01009738,Guardbridge,Fife,430,291,5266,4,8,16,76,3%,14,5840.5,3%,10,5605,45,24,0,85,21%,0%,59,5805,0%,5.4,79,4%,6%,3618,5.29,4.07,4.06,2.22,10.93,10.13,8.02,7.21,12.1,19%,1110,0,0,6666,27,6,6%,1%,4572
3233,S01009739,Leuchars North East and St Michaels,Fife,837,585,5638,5,9,17,81,3%,26,5918,3%,16,6062,50,0,0,62,13%,2%,56,6397,82%,5.81,26,4%,7%,4979,8.47,2.47,2.86,3.27,15.02,9.88,8.16,9.32,20.13,13%,1007,10,120,4740,37,1,5%,0%,5784
3234,S01009740,Leuchars North,Fife,522,311,2852,3,5,9,41,15%,80,2184,10%,32,2592,100,46,29,110,23%,0%,93,3166,81%,5.17,82,3%,9%,3082,7.66,1.09,1.27,1.83,14.31,9.08,4.01,4.16,17.01,0%,4003,7,135,4457,36,3,7%,1%,4840
3235,S01009741,Leuchars East,Fife,1352,1048,6605,5,10,19,95,1%,7,6962,0%,5,6958,25,21,0,60,3%,7%,65,6855,86%,5.13,40,1%,1%,3576,8.11,1.11,1.66,2.53,14,9.72,5.16,6.38,17.13,3%,2767,3,22,6680,10,0,2%,0%,6809
3236,S01009742,St Fort and Pickletillem,Fife,478,272,5335,4,8,16,77,3%,13,6111,3%,9,5653,30,7,0,61,14%,0%,71,6602,84%,5.85,36,0%,28%,6005,4.6,4.67,4.97,4.49,11.72,4.6,14.2,13.34,13.77,59%,672,14,295,2275,23,12,5%,2%,4900
3237,S01009743,Gauldry and Balmerino,Fife,916,506,4991,4,8,15,72,3%,30,5832,5%,23,4825,45,11,0,102,16%,0%,70,5889,94%,6.06,41,3%,12%,6162,8.74,10.05,5.88,2.67,15.26,10.11,18.49,11.4,18.46,21%,431,9,99,5134,41,10,4%,1%,5649
3238,S01009744,Balmullo North,Fife,689,431,4564,4,7,14,66,5%,36,4912,4%,18,5042,40,24,0,68,17%,9%,67,5996,85%,5.17,31,6%,12%,4556,6.53,4.04,3.49,4.26,14.39,9.78,10.97,10.53,18.92,18%,691,22,322,2047,22,3,3%,0%,6308
3239,S01009745,Balmullo South,Fife,1024,592,6118,5,9,18,88,2%,24,6304,4%,21,5442,55,27,0,87,17%,8%,68,5336,87%,5.81,32,1%,14%,5712,5.08,1.84,1.78,2.07,13.39,10.24,4.54,4.9,14.79,5%,2502,3,30,6572,38,10,4%,1%,5999
3240,S01009746,Kilmany Rathillet and Logie,Fife,550,363,4331,4,7,13,63,2%,10,6558,2%,9,6173,30,17,0,58,15%,14%,65,6530,70%,5.38,36,5%,19%,3933,8.63,8.56,8.72,7.65,11.82,10.13,24.84,23.95,27.12,100%,128,31,568,767,22,21,4%,4%,4640
3241,S01009747,Tayport North,Fife,635,430,3510,3,6,11,51,11%,72,3079,9%,39,3018,90,125,70,108,24%,13%,110,2623,86%,5.32,61,1%,9%,4178,6.96,2.04,1.59,1.88,10.68,1.5,6.26,5.38,4.73,0%,5952,14,222,3077,61,10,9%,2%,3434
3242,S01009748,Tayport West,Fife,773,477,4670,4,7,14,67,7%,55,4212,6%,28,4147,75,62,24,107,19%,4%,104,3676,81%,5.7,52,2%,14%,4649,5.01,2.57,3.14,3.23,8.87,2.87,6.05,7.73,6.61,1%,3057,3,39,6392,33,4,5%,1%,5699
3243,S01009749,Tayport Central,Fife,949,588,5217,4,8,15,75,7%,70,4128.5,6%,37,4010,65,50,0,90,18%,0%,92,4474,88%,6.28,51,3%,9%,5545,6.75,1.57,1.34,1.71,10.63,1.27,4.69,4.15,3.58,0%,6634,3,32,6529,60,11,6%,1%,4740
3244,S01009750,Tayport South,Fife,677,423,3674,3,6,11,53,13%,85,2776,8%,33,3428,90,49,43,139,23%,0%,105,3036,79%,5.83,76,4%,11%,3818,7.07,2.55,1.81,2.05,11.74,2.16,6.69,5.86,6.46,0%,4649,0,0,6801,57,5,8%,1%,4057
3245,S01009751,Tayport South East,Fife,747,468,2443,2,4,8,36,14%,106,2397,13%,61,1872,115,19,21,109,22%,15%,112,2855,77%,5.17,91,3%,13%,2942,8.03,3.01,2.23,2.47,12.11,2.56,7.36,6.46,7.56,1%,3050,8,108,4967,104,5,13%,1%,2440
3246,S01009752,Newport West,Fife,626,355,6330,5,10,19,91,2%,15,6270,4%,13,5334,35,11,0,71,15%,0%,62,6462,93%,6.71,9,2%,12%,6881,4.03,3.89,2.65,2.46,9.81,3.85,7.14,6.39,7.55,25%,2224,3,48,6195,15,3,3%,1%,6505
3247,S01009753,Newport Central,Fife,696,346,5210,4,8,15,75,8%,59,3791,4%,13,5354,75,26,141,90,22%,7%,89,3718,82%,5.82,36,0%,12%,5415,3.18,2.44,1.36,3.29,8.31,2.39,3.58,3.15,3.82,0%,5549,9,130,4550,18,8,3%,1%,6263
3248,S01009754,Newport East,Fife,870,506,5387,4,8,16,78,7%,65,4091,5%,27,4459,65,22,19,104,19%,3%,76,4668,88%,6.57,30,1%,20%,6562,2.18,1.31,1.62,3.42,7.16,1.55,3.35,3.47,3.89,6%,6075,9,104,5029.5,53,20,7%,2%,4074
3249,S01009755,Newport North East,Fife,707,431,6270,5,9,18,90,3%,20,6045,3%,14,5558,45,37,0,113,18%,0%,65,5636,90%,5.58,39,2%,8%,5305,2.53,2.19,1.92,4.02,6.77,2.39,4.3,3.96,4.68,27%,4495,9,128,4591,25,4,4%,1%,6016
3250,S01009756,Wormit East,Fife,743,441,5636,5,9,17,81,6%,41,4792,4%,18,5119,40,29,47,65,15%,4%,69,5883,91%,5.96,34,0%,14%,6282,5.58,5.39,1.86,1.36,11.56,5.35,8.85,5.63,8.69,0%,2391,5,68,5783,28,4,4%,1%,6039
3251,S01009757,Wormit West,Fife,642,386,6082,5,9,18,88,2%,12,6538,3%,11,5828,35,11,117,43,15%,0%,62,6416,93%,6.52,19,0%,19%,6859,7.8,8.21,2.59,3.44,12.92,8.19,11.16,5.81,11.2,4%,917,0,0,6539,25,0,4%,0%,6259.5
3252,S01009758,Darnley East - 01,Glasgow City,624,407,4997,4,8,15,72,3%,20,5861.5,5%,22,4396,85,42,24,176,22%,11%,89,3273,86%,6.05,100,0%,12%,4903,2.04,3.08,2.79,4.27,4.54,3.13,11.63,10.25,10.4,0%,3216,5,81,5523,73,43,13%,8%,1021
3253,S01009759,Darnley East - 02,Glasgow City,860,570,161,1,1,1,3,45%,387,23,27%,153,168,240,281,236,167,26%,7%,142,255,75%,5.38,202,9%,9%,1291,3.58,1.55,1.74,2.31,5.92,2.96,4.64,5.09,6.61,0%,6001,48,561,791,223,29,24%,3%,494
3254,S01009760,Darnley East - 03,Glasgow City,852,550,998,1,2,3,15,23%,194,1083,18%,96,971,195,80,120,142,27%,5%,119,881,74%,4.82,205,9%,7%,715,2.47,1.82,1.79,2.94,5.06,3.06,6.41,6.12,7.52,0%,5706,27,318,2079,173,8,19%,1%,1157
3255,S01009761,Darnley East - 04,Glasgow City,846,558,3135,3,5,9,45,13%,106,2784,8%,45,3348,120,17,50,117,23%,8%,102,2782,75%,5.69,147,7%,15%,2530,2.5,2.7,2.49,3.78,5.02,3.35,9.42,8.38,10.11,0%,3720,7,83,5459,122,24,13%,3%,1878
3256,S01009762,Darnley East - 05,Glasgow City,1183,801,1247,1,2,4,18,25%,299,830,13%,102,1946,165,165,80,121,24%,9%,98,1499,65%,5.33,219,3%,4%,547,2.62,0.97,0.88,2.06,4.97,3.24,3.15,2.78,7.06,0%,6870,40,340,1904,201,6,22%,1%,870
3257,S01009763,Darnley East - 06,Glasgow City,783,551,5598,5,9,17,81,5%,39,5008,4%,20,5428,50,10,0,23,13%,7%,59,6391,85%,6.06,71,0%,19%,5511,2.59,3.65,3.52,3.66,4.5,3.68,14.57,12.8,12.62,0%,1888,4,51,6138,72,9,9%,1%,3538
3258,S01009764,Darnley North - 01,Glasgow City,688,476,892,1,2,3,13,28%,192,577,18%,84,983.5,190,187,201,143,24%,8%,118,821,75%,5.62,197,4%,9%,1752,1.5,3.87,3.76,2.3,6.54,2.23,9.52,8.67,8.17,0%,4219,23,336,1930,123,7,18%,1%,1315
3259,S01009765,Darnley North - 02,Glasgow City,996,639,2403,2,4,7,35,16%,160,2062,10%,61,2833,135,255,28,155,24%,7%,136,1432,80%,5.93,159,2%,18%,3476,1.89,3.77,3.88,2,6.9,2.61,11.23,10.43,9.89,0%,3354,13,131,4535,191,17,20%,2%,993
3260,S01009766,Darnley North - 03,Glasgow City,515,379,4042,3,6,12,58,6%,30,4678,5%,21,4387,95,81,53,89,21%,0%,94,3244,80%,5.78,118,1%,20%,3946,2.69,3.81,3.67,4.12,4.94,3.74,11.6,13.02,9.65,0%,1910,14,273,2479,89,23,16%,4%,1205
3261,S01009767,Darnley North - 04,Glasgow City,1099,738,1962,2,3,6,29,14%,159,2348,10%,75,2635,165,120,113,314,25%,3%,102,1183,78%,5.5,212,2%,17%,2135,1.71,4.04,3.13,2.37,6.37,2.61,12.24,10.61,10.37,1%,2977,82,750,443,89,3,17%,1%,1486
3262,S01009768,Darnley West - 01,Glasgow City,755,519,1468,2,3,5,22,21%,160,1279,16%,82,1297,170,129,104,137,19%,5%,102,1604,79%,5.38,179,8%,11%,1909,2.54,3.07,2.52,4.24,4.27,3.03,10.45,8.23,9.99,0%,3631,13,173,3817,137,6,22%,1%,768
3263,S01009769,Darnley West - 02,Glasgow City,1152,732,4266,4,7,13,62,7%,85,4126,4%,28,5229,90,51,12,238,19%,0%,115,3061,84%,5.77,90,4%,16%,4159,2.95,3.7,3.7,4.47,4.57,3.86,10.21,11.23,9,1%,2097,26,227,3011,77,12,13%,2%,2250
3264,S01009770,Darnley West - 03,Glasgow City,664,478,4227,4,7,13,61,8%,50,4071,6%,27,4267,90,59,0,80,18%,13%,94,3801,80%,6.17,116,1%,12%,4186,2.28,4.75,3.97,3.08,7.08,2.14,16.28,13.15,8.18,0%,2175,7,106,4995,117,3,16%,0%,1706
3265,S01009771,Darnley West - 04,Glasgow City,846,613,4400,4,7,13,64,9%,78,3593,5%,29,4696,100,31,17,90,17%,7%,86,3791,81%,5.94,104,0%,17%,4507,2.16,4.62,4.15,3.33,7.2,1.57,16.06,13.26,8.05,18%,2225,4,48,6219,86,1,10%,0%,3764
3266,S01009772,Darnley West - 05,Glasgow City,723,450,4638,4,7,14,67,6%,42,4684,5%,24,4430,45,71,42,46,20%,9%,87,5055,86%,5.81,113,1%,13%,4171,3.27,3.49,3.77,4.75,4.62,4.16,11.55,12.97,11.11,0%,1822,4,56,6055,104,33,16%,5%,973
3267,S01009773,Darnley West - 06,Glasgow City,730,499,4777,4,7,14,69,9%,64,3715,4%,20,5190,85,6,0,36,11%,5%,75,5456,79%,5.73,107,4%,20%,3719,3.32,3.05,3.36,4.86,4.19,3.83,10.32,11.74,11.36,0%,2342,0,0,6608,62,3,10%,0%,3595
3268,S01009774,Darnley West - 07,Glasgow City,628,400,4367,4,7,13,63,9%,57,3631,4%,18,4908,80,31,0,68,10%,4%,92,4942,87%,5.64,101,2%,21%,4564,4.05,3.78,4.1,5.43,4.86,4.56,14.87,16.29,15.91,0%,1093,3,48,6204,38,10,7%,2%,4301
3269,S01009775,Nitshill - 01,Glasgow City,773,473,126,1,1,1,2,36%,281,155,26%,120,217,275,313,486,123,36%,8%,207,19,74%,4.92,255,7%,6%,485,2.5,1.36,2.35,3.03,4.44,4.57,4.84,7.94,14.24,0%,5151,115,1482,83,210,10,26%,1%,471
3270,S01009776,Nitshill - 02,Glasgow City,652,409,109,1,1,1,2,40%,261,77,28%,115,137,245,402,264,396,26%,4%,134,176,69%,5.06,256,8%,10%,482,3.19,4.2,1.97,2.94,6,3.68,11.88,5.55,12.94,0%,2939,36,555,810,169,7,26%,1%,519
3271,S01009777,Nitshill - 03,Glasgow City,483,331,422,1,1,2,7,31%,151,331,23%,76,399,180,253,374,190,21%,11%,126,784,72%,5.08,203,6%,6%,826,3.12,2.46,2.19,2.08,5.48,3.69,8.91,7.81,13.16,0%,4055,25,520,927,115,67,24%,14%,162
3272,S01009778,Nitshill - 04,Glasgow City,809,466,231,1,1,1,4,36%,288,181,25%,115,276,230,210,307,163,29%,3%,170,186,66%,5.42,227,13%,4%,429,2.7,2.97,1.66,1.93,5.8,3.19,9.79,5.21,10.88,0%,4777,23,286,2379,202,6,25%,1%,614
3273,S01009779,Nitshill - 05,Glasgow City,625,374,350,1,1,2,6,34%,212,235,17%,61,1165,225,491,402,149,27%,14%,158,187,59%,5.33,230,5%,2%,170,2.39,3.54,1.24,2.51,5.83,2.87,9.97,4.13,11.21,0%,4928,37,595,700,124,10,23%,2%,688
3274,S01009780,Nitshill - 06,Glasgow City,695,487,74,1,1,1,2,37%,259,132,26%,126,200,280,215,303,110,26%,17%,182,83,61%,4.28,276,5%,1%,15,3.8,2.69,2.93,3.01,5.73,4.6,9.77,9.17,13.97,0%,2474,38,549,833,141,0,23%,0%,790
3275,S01009781,Nitshill - 07,Glasgow City,583,360,570,1,1,2,9,31%,178,390,18%,65,887,205,102,113,133,29%,20%,137,532,71%,5.25,245,7%,6%,554,3.09,1.98,2.28,2.37,4.99,3.98,7.07,6.94,12.45,0%,4597,22,379,1624,103,4,19%,1%,1273
3276,S01009782,Nitshill - 08,Glasgow City,754,523,1496,2,3,5,22,18%,134,1770,13%,67,1971,165,68,51,158,21%,4%,116,1603,71%,5.07,153,8%,2%,848,3.97,3.19,3.02,3.34,6.39,4.54,9.46,7.8,12.67,0%,2223,25,333,1954,124,2,22%,0%,851
3277,S01009783,Nitshill - 09,Glasgow City,689,487,299,1,1,1,5,32%,219,308,23%,113,368,235,258,182,193,26%,18%,175,178,73%,4.86,251,7%,6%,452,3.69,3.28,2.75,2.89,6.18,4.21,9.51,7.24,12.31,0%,2660,8,117,4814,203,7,27%,1%,423
3278,S01009784,Crookston South - 01,Glasgow City,715,476,232,1,1,1,4,36%,258,164,22%,102,512,260,167,330,136,28%,10%,165,139,66%,5.18,235,5%,3%,306,3.74,2.84,2.88,2.62,5.52,4.61,10.22,9.49,15.46,0%,2479,23,323,2034,153,9,20%,1%,962.5
3279,S01009785,Crookston South - 02,Glasgow City,778,517,444,1,1,2,7,30%,237,394,20%,104,621,250,203,246,117,30%,9%,130,254,70%,5.16,228,7%,5%,504,3.08,2.44,2.02,2.35,5.51,3.73,7.71,5.81,11.48,0%,4526,28,362,1740,130,7,16%,1%,1652
3280,S01009786,Crookston South - 03,Glasgow City,934,589,191,1,1,1,3,38%,354,122,24%,143,313,205,322,467,188,28%,12%,177,197,66%,5.05,220,6%,3%,365,2.08,1.84,1.36,2.19,3.91,4.93,6.17,5.15,11.26,0%,5546,72,775,404,252,29,27%,3%,344
3281,S01009787,Crookston South - 04,Glasgow City,755,450,123,1,1,1,2,35%,267,188,26%,118,192,265,124,351,165,30%,10%,172,101,64%,4.34,230,6%,2%,62,2.76,1.99,2.62,3.45,4.77,5.04,5.66,6.79,12.46,0%,4129,32,426,1355,220,8,25%,1%,552
3282,S01009788,Crookston North - 01,Glasgow City,859,561,1697,2,3,5,25,19%,160,1624,14%,78,1648.5,175,83,97,112,24%,8%,106,1423,76%,5.04,189,3%,9%,1562,2.46,1.76,2.32,3.38,2.54,5.27,6.42,8.01,16.6,8%,4150,16,187,3599,114,23,14%,3%,1791
3283,S01009789,Crookston North - 02,Glasgow City,867,562,995,1,2,3,15,24%,205,997,17%,95,1068,185,192,337,128,29%,0%,111,782,76%,5.19,186,6%,8%,1425,1.96,1.76,1.82,2.79,2.88,4.83,5.6,6.86,13.75,23%,4657,60,695,514,151,16,17%,2%,1410
3284,S01009790,Crookston North - 03,Glasgow City,612,406,1953,2,3,6,28,18%,108,1791,13%,52,1968,150,43,48,116,26%,0%,114,1880,85%,4.79,191,7%,7%,1458,2.78,2.13,2.25,2.22,3.55,5.6,6.28,6.86,16.58,5%,4044,4,66,5842,135,12,21%,2%,774
3285,S01009791,Crookston North - 04,Glasgow City,789,536,629,1,1,2,10,29%,230,483,19%,101,814,200,217,360,137,24%,8%,131,603,71%,5.03,208,8%,6%,646,2.55,2.16,1.61,2.01,3.98,5.42,6.07,4.79,16.13,1%,4813,30,382,1601,142,8,21%,1%,844
3286,S01009792,Pollok South and West - 01,Glasgow City,986,720,5114,4,8,15,74,7%,69,4256,4%,28,5205,75,11,0,49,14%,6%,106,4801,85%,5.96,83,2%,22%,5039,4.5,1.86,3.14,3,4.17,6.13,8.71,10.75,14.99,0%,2743,11,112,4902,78,12,8%,1%,3941
3287,S01009793,Pollok South and West - 02,Glasgow City,1342,867,5229,4,8,15,75,6%,84,4509,4%,38,4902,80,93,54,84,18%,2%,74,4026,93%,6.04,93,0%,17%,5872,3.3,2.39,1.57,3.27,4.72,4.76,7.62,6.03,12.59,5%,3666,11,82,5473,97,10,11%,1%,3017
3288,S01009794,Pollok South and West - 03,Glasgow City,522,365,6201,5,9,18,89,3%,18,5735,3%,10,6044,55,72,94,34,14%,7%,65,5421,92%,6.2,69,0%,13%,6008,5.14,1.42,3.35,3.79,4.9,6.59,4.78,8.77,14.91,0%,3116,7,135,4466,24,0,5%,0%,5929
3289,S01009795,Pollok South and West - 04,Glasgow City,865,603,6026,5,9,18,87,4%,36,5378,4%,24,5136,55,36,18,30,13%,0%,68,5811,87%,5.98,65,0%,22%,5727,4.24,1.5,2.45,3.71,4.96,5.73,5.96,7.35,14.67,0%,3739,5,58,6007,34,2,4%,0%,6060
3290,S01009796,Pollok South and West - 05,Glasgow City,744,460,4551,4,7,14,66,6%,48,4448,4%,19,4995.5,95,53,21,73,17%,10%,80,3892,85%,5.65,103,3%,15%,4010,5.37,2.69,3.76,4.39,5.62,6.92,8.8,10.5,16.39,0%,1419,0,0,6614.5,71,12,9%,2%,3437
3291,S01009797,Pollok South and West - 06,Glasgow City,782,550,4547,4,7,14,66,7%,56,4195,5%,27,4658,90,39,18,91,15%,9%,81,4082,85%,5.64,90,2%,9%,3843,2.91,2.79,1.41,2.76,4.98,3.94,8.06,5.39,12.27,4%,4050,27,347,1847,58,5,7%,1%,4457
3292,S01009798,Pollok South and West - 07,Glasgow City,696,501,5937,5,9,18,86,4%,27,5515,3%,13,6146,60,44,42,77,12%,0%,71,5362,89%,5.66,75,1%,13%,4813,4.07,2.12,2.28,4.17,5.43,5.57,7.31,7.07,14.84,0%,2888,8,115,4837,37,2,5%,0%,5644
3293,S01009799,Pollok North and East - 01,Glasgow City,742,500,150,1,1,1,3,40%,294,91,24%,121,310,255,224,59,196,34%,7%,196,74,68%,4.95,222,4%,7%,546,3.42,1.58,2.41,3.85,4.18,5.85,5.44,7.46,16.86,0%,4026,62,840,324,188,4,23%,0%,804
3294,S01009800,Pollok North and East - 02,Glasgow City,1002,668,1088,1,2,4,16,24%,240,968,16%,107,1227,190,180,241,131,23%,5%,152,658,73%,5.35,164,7%,7%,1509,4.17,2.63,1.19,3.76,4.69,6.74,7.76,4.37,18.65,0%,3438,21,211,3248,234,18,21%,2%,833
3295,S01009801,Pollok North and East - 03,Glasgow City,859,536,601,1,1,2,9,29%,251,478,20%,104,700,205,85,77,103,25%,3%,124,904,68%,4.93,207,5%,6%,581,3.68,1.95,2.01,3.7,4.42,6.26,6.34,7.28,17.73,0%,3504,41,480,1095,138,8,15%,1%,1814
3296,S01009802,Pollok North and East - 04,Glasgow City,1008,717,1065,1,2,4,16,25%,256,819.5,17%,121,1080,185,156,290,117,23%,4%,118,1006,76%,5.58,167,6%,8%,1980,4.49,3.06,1.3,3.89,4.8,6.88,8.52,4.37,18.92,0%,2809,33,329,1986,177,3,17%,0%,1561.5
3297,S01009803,Pollok North and East - 05,Glasgow City,745,437,579,1,1,2,9,30%,223,421,20%,86,664,210,320,286,81,28%,13%,147,399,68%,5.34,194,5%,8%,1108,3.24,2.3,2.02,2.1,3.82,5.75,7.22,5.53,15.25,0%,4455,20,270,2508,170,21,21%,3%,733
3298,S01009804,Pollok North and East - 06,Glasgow City,526,395,1598,2,3,5,23,13%,67,2729,19%,75,761,175,96,304,98,13%,0%,117,1893,0%,0,142,0%,9%,4226,4.41,2.29,3.49,3.42,4.08,5.6,9.68,11.78,15,0%,2203,39,745,449,67,1,17%,0%,1551
3299,S01009805,Pollok North and East - 07,Glasgow City,939,594,708,1,2,3,11,28%,262,579,18%,107,908,195,135,138,107,21%,5%,137,954,63%,4.83,193,3%,6%,522,4.06,2.13,2.4,2.06,4.53,6.25,6.94,5.84,13.92,0%,3943,43,460,1178,144,14,15%,1%,1773
3300,S01009806,Cardonald South and East - 01,Glasgow City,869,443,1125,1,2,4,17,22%,188,1217,17%,73,1123,170,341,89,136,31%,8%,124,725,84%,5.08,130,4%,7%,2479,2.87,1.8,2.04,2.59,4.09,2.71,4.96,7.51,8.16,0%,5595,102,1179,135,154,25,19%,3%,964
3301,S01009807,Cardonald South and East - 02,Glasgow City,970,633,2635,2,4,8,38,16%,151,2135,9%,57,3001,120,79,94,108,22%,7%,100,2527,79%,5.19,157,3%,10%,2168,2.99,2.62,3.06,2.88,4.16,2.76,6.78,11.19,10.81,0%,4273,11,114,4870,155,31,15%,3%,1431.5
3302,S01009808,Cardonald South and East - 03,Glasgow City,584,386,2152,2,4,7,31,15%,89,2203,10%,39,2642,125,321,143,175,20%,11%,108,1813,73%,5,177,0%,5%,1569,3.6,3.21,3.62,2.76,3.95,3.37,8.4,11.6,12.67,1%,2831,7,120,4741,217,51,24%,6%,356
3303,S01009809,Cardonald South and East - 04,Glasgow City,692,455,1848,2,3,6,27,17%,117,1908,14%,61,1767,155,147,128,118,21%,7%,125,1527,71%,5.47,127,3%,8%,2148,2.98,2.61,3.05,2.75,4.26,2.75,6.09,10.83,10.7,0%,4503,29,421,1377,124,33,18%,5%,818
3304,S01009810,Cardonald North - 01,Glasgow City,886,591,593,1,1,2,9,30%,266,418,21%,124,538,185,266,259,130,23%,10%,136,729,73%,5.05,177,5%,4%,992,3.07,2.09,3.05,2.52,4.04,3.35,6.11,7.26,8.34,0%,5008,26,295,2282,187,15,22%,2%,752
3305,S01009811,Cardonald North - 02,Glasgow City,1058,689,816,1,2,3,12,26%,278,730,19%,125,856,195,206,133,115,29%,8%,131,614,73%,4.81,183,5%,6%,926,2.41,1.64,2.41,2.55,4.46,2.73,6.59,7.23,7.98,0%,5809,31,294,2288,217,27,21%,3%,781
